"","team_b","team_a","game_id","time","score_a","score_b","name_a","name_b"
"155",2266,2265,2766411,"2013-10-05 18:00:00",79,64,"BC Zepter Vienna","UBSC Raiffeisen Graz"
"50",2260,2263,2766391,"2013-10-05 19:00:00",70,83,"Chin Min Dragons St. Pölten","magnofit Güssing Knights"
"103",2264,2262,2766401,"2013-10-06 17:00:00",62,61,"Allianz Swans Gmunden","yourgoody dukes Klosterneuburg"
"54",2261,2259,2766381,"2013-10-06 18:00:00",100,89,"Raiffeisen Fürstenfeld Panthers","Redwell Gunners Oberwart"
"164",2267,2268,2766371,"2013-10-07 19:00:00",67,78,"WBC Raiffeisen Wels","ece bulls Kapfenberg"
"10",2258,2265,2766831,"2013-10-07 19:30:00",87,84,"BC Zepter Vienna","Arkadia Traiskirchen Lions"
"85",2262,2260,2766471,"2013-10-12 18:00:00",90,86,"magnofit Güssing Knights","Allianz Swans Gmunden"
"93",2263,2261,2766461,"2013-10-12 19:00:00",99,72,"Redwell Gunners Oberwart","Chin Min Dragons St. Pölten"
"177",2268,2258,2766441,"2013-10-13 17:00:00",66,73,"Arkadia Traiskirchen Lions","WBC Raiffeisen Wels"
"26",2259,2266,2766451,"2013-10-13 18:00:00",103,99,"UBSC Raiffeisen Graz","Raiffeisen Fürstenfeld Panthers"
"135",2265,2267,2766431,"2013-10-14 19:00:00",82,89,"ece bulls Kapfenberg","BC Zepter Vienna"
"65",2261,2262,2766521,"2013-10-20 17:00:00",83,86,"Allianz Swans Gmunden","Redwell Gunners Oberwart"
"146",2266,2263,2766511,"2013-10-20 17:00:00",78,72,"Chin Min Dragons St. Pölten","UBSC Raiffeisen Graz"
"136",2265,2268,2766501,"2013-10-20 18:00:00",64,85,"WBC Raiffeisen Wels","BC Zepter Vienna"
"163",2267,2259,2766491,"2013-10-20 18:00:00",96,90,"Raiffeisen Fürstenfeld Panthers","ece bulls Kapfenberg"
"113",2264,2258,2766541,"2013-10-21 19:00:00",73,77,"Arkadia Traiskirchen Lions","yourgoody dukes Klosterneuburg"
"12",2258,2260,2766591,"2013-10-26 18:00:00",82,58,"magnofit Güssing Knights","Arkadia Traiskirchen Lions"
"77",2262,2266,2766581,"2013-10-26 19:00:00",69,80,"UBSC Raiffeisen Graz","Allianz Swans Gmunden"
"92",2263,2267,2766551,"2013-10-26 19:00:00",106,57,"ece bulls Kapfenberg","Chin Min Dragons St. Pölten"
"29",2259,2265,2766571,"2013-10-26 20:30:00",91,78,"BC Zepter Vienna","Raiffeisen Fürstenfeld Panthers"
"191",2268,2264,2766561,"2013-10-28 19:00:00",72,81,"yourgoody dukes Klosterneuburg","WBC Raiffeisen Wels"
"73",2262,2265,2766701,"2013-10-29 19:30:00",89,69,"BC Zepter Vienna","Allianz Swans Gmunden"
"170",2267,2262,2766611,"2013-10-31 19:00:00",66,71,"Allianz Swans Gmunden","ece bulls Kapfenberg"
"138",2265,2263,2766631,"2013-11-01 16:30:00",68,95,"Chin Min Dragons St. Pölten","BC Zepter Vienna"
"39",2260,2264,2766641,"2013-11-01 17:00:00",75,60,"yourgoody dukes Klosterneuburg","magnofit Güssing Knights"
"57",2261,2258,2766651,"2013-11-01 17:00:00",70,81,"Arkadia Traiskirchen Lions","Redwell Gunners Oberwart"
"23",2259,2268,2766621,"2013-11-01 19:00:00",92,76,"WBC Raiffeisen Wels","Raiffeisen Fürstenfeld Panthers"
"178",2268,2260,2766681,"2013-11-03 17:00:00",59,69,"magnofit Güssing Knights","WBC Raiffeisen Wels"
"95",2263,2259,2766691,"2013-11-03 19:00:00",104,79,"Raiffeisen Fürstenfeld Panthers","Chin Min Dragons St. Pölten"
"119",2264,2261,2766711,"2013-11-04 19:00:00",70,77,"Redwell Gunners Oberwart","yourgoody dukes Klosterneuburg"
"88",2263,2268,2766741,"2013-11-09 19:00:00",93,74,"WBC Raiffeisen Wels","Chin Min Dragons St. Pölten"
"20",2259,2262,2766751,"2013-11-10 17:00:00",97,78,"Allianz Swans Gmunden","Raiffeisen Fürstenfeld Panthers"
"150",2266,2264,2766781,"2013-11-10 17:00:00",78,58,"yourgoody dukes Klosterneuburg","UBSC Raiffeisen Graz"
"160",2267,2258,2766731,"2013-11-10 17:00:00",58,81,"Arkadia Traiskirchen Lions","ece bulls Kapfenberg"
"62",2261,2260,2766771,"2013-11-11 19:00:00",83,72,"magnofit Güssing Knights","Redwell Gunners Oberwart"
"108",2264,2267,2766791,"2013-11-16 19:00:00",63,85,"ece bulls Kapfenberg","yourgoody dukes Klosterneuburg"
"181",2268,2261,2766801,"2013-11-17 17:00:00",87,70,"Redwell Gunners Oberwart","WBC Raiffeisen Wels"
"52",2260,2266,2766841,"2013-11-17 18:00:00",67,82,"UBSC Raiffeisen Graz","magnofit Güssing Knights"
"72",2262,2263,2766821,"2013-11-18 19:00:00",81,92,"Chin Min Dragons St. Pölten","Allianz Swans Gmunden"
"25",2259,2258,2766871,"2013-11-24 17:00:00",76,73,"Arkadia Traiskirchen Lions","Raiffeisen Fürstenfeld Panthers"
"151",2266,2261,2766901,"2013-11-24 17:00:00",74,68,"Redwell Gunners Oberwart","UBSC Raiffeisen Graz"
"171",2267,2260,2766851,"2013-11-24 17:00:00",69,64,"magnofit Güssing Knights","ece bulls Kapfenberg"
"79",2262,2268,2766861,"2013-11-24 18:00:00",68,79,"WBC Raiffeisen Wels","Allianz Swans Gmunden"
"107",2264,2265,2766891,"2013-11-25 19:00:00",76,48,"BC Zepter Vienna","yourgoody dukes Klosterneuburg"
"32",2260,2265,2766961,"2013-11-30 18:00:00",76,69,"BC Zepter Vienna","magnofit Güssing Knights"
"14",2258,2263,2766941,"2013-11-30 19:00:00",80,101,"Chin Min Dragons St. Pölten","Arkadia Traiskirchen Lions"
"109",2264,2259,2766931,"2013-12-01 17:00:00",79,76,"Raiffeisen Fürstenfeld Panthers","yourgoody dukes Klosterneuburg"
"175",2268,2266,2766921,"2013-12-01 18:00:00",81,97,"UBSC Raiffeisen Graz","WBC Raiffeisen Wels"
"53",2261,2267,2766911,"2013-12-02 19:00:00",91,81,"ece bulls Kapfenberg","Redwell Gunners Oberwart"
"28",2259,2260,2766991,"2013-12-05 19:00:00",99,94,"magnofit Güssing Knights","Raiffeisen Fürstenfeld Panthers"
"130",2265,2261,2767021,"2013-12-06 19:00:00",87,93,"Redwell Gunners Oberwart","BC Zepter Vienna"
"81",2262,2258,2767011,"2013-12-06 19:30:00",70,91,"Arkadia Traiskirchen Lions","Allianz Swans Gmunden"
"86",2263,2264,2767001,"2013-12-06 19:30:00",102,69,"yourgoody dukes Klosterneuburg","Chin Min Dragons St. Pölten"
"157",2267,2266,2766971,"2013-12-06 20:00:00",73,86,"UBSC Raiffeisen Graz","ece bulls Kapfenberg"
"8",2258,2262,2767071,"2013-12-08 17:00:00",78,74,"Allianz Swans Gmunden","Arkadia Traiskirchen Lions"
"114",2264,2263,2767061,"2013-12-08 17:00:00",72,90,"Chin Min Dragons St. Pölten","yourgoody dukes Klosterneuburg"
"148",2266,2267,2767031,"2013-12-08 17:00:00",94,66,"ece bulls Kapfenberg","UBSC Raiffeisen Graz"
"31",2260,2259,2767051,"2013-12-09 19:00:00",84,95,"Raiffeisen Fürstenfeld Panthers","magnofit Güssing Knights"
"21",2259,2261,2767101,"2013-12-15 17:00:00",97,82,"Redwell Gunners Oberwart","Raiffeisen Fürstenfeld Panthers"
"84",2262,2264,2767121,"2013-12-15 17:00:00",61,77,"yourgoody dukes Klosterneuburg","Allianz Swans Gmunden"
"101",2263,2260,2767111,"2013-12-15 17:00:00",112,73,"magnofit Güssing Knights","Chin Min Dragons St. Pölten"
"13",2258,2266,2766721,"2013-12-15 19:00:00",69,80,"UBSC Raiffeisen Graz","Arkadia Traiskirchen Lions"
"193",2268,2267,2767091,"2013-12-16 19:00:00",79,67,"ece bulls Kapfenberg","WBC Raiffeisen Wels"
"6",2258,2268,2767161,"2013-12-21 19:00:00",79,69,"WBC Raiffeisen Wels","Arkadia Traiskirchen Lions"
"61",2261,2263,2767181,"2013-12-21 19:00:00",79,96,"Chin Min Dragons St. Pölten","Redwell Gunners Oberwart"
"141",2266,2259,2767171,"2013-12-21 19:00:00",94,74,"Raiffeisen Fürstenfeld Panthers","UBSC Raiffeisen Graz"
"47",2260,2262,2767191,"2013-12-22 17:00:00",75,64,"Allianz Swans Gmunden","magnofit Güssing Knights"
"169",2267,2265,2767151,"2013-12-22 19:00:00",65,69,"BC Zepter Vienna","ece bulls Kapfenberg"
"9",2258,2264,2767261,"2013-12-26 17:00:00",90,96,"yourgoody dukes Klosterneuburg","Arkadia Traiskirchen Lions"
"22",2259,2267,2767211,"2013-12-26 18:00:00",92,78,"ece bulls Kapfenberg","Raiffeisen Fürstenfeld Panthers"
"99",2263,2266,2767231,"2013-12-26 18:30:00",115,65,"UBSC Raiffeisen Graz","Chin Min Dragons St. Pölten"
"70",2262,2261,2767241,"2013-12-26 19:00:00",100,87,"Redwell Gunners Oberwart","Allianz Swans Gmunden"
"182",2268,2265,2767221,"2013-12-26 19:30:00",80,89,"BC Zepter Vienna","WBC Raiffeisen Wels"
"33",2260,2258,2767311,"2013-12-29 17:00:00",78,89,"Arkadia Traiskirchen Lions","magnofit Güssing Knights"
"120",2265,2259,2767291,"2013-12-29 17:00:00",74,89,"Raiffeisen Fürstenfeld Panthers","BC Zepter Vienna"
"144",2266,2262,2767301,"2013-12-29 17:00:00",94,77,"Allianz Swans Gmunden","UBSC Raiffeisen Graz"
"168",2267,2263,2767271,"2013-12-29 17:00:00",83,92,"Chin Min Dragons St. Pölten","ece bulls Kapfenberg"
"104",2264,2268,2767281,"2013-12-29 19:00:00",79,68,"WBC Raiffeisen Wels","yourgoody dukes Klosterneuburg"
"132",2265,2266,2767131,"2014-01-03 19:00:00",73,82,"UBSC Raiffeisen Graz","BC Zepter Vienna"
"11",2258,2261,2767371,"2014-01-05 17:00:00",80,69,"Redwell Gunners Oberwart","Arkadia Traiskirchen Lions"
"69",2262,2267,2767331,"2014-01-05 19:00:00",74,62,"ece bulls Kapfenberg","Allianz Swans Gmunden"
"106",2264,2260,2767361,"2014-01-05 19:00:00",90,65,"magnofit Güssing Knights","yourgoody dukes Klosterneuburg"
"91",2263,2265,2767351,"2014-01-06 19:30:00",100,86,"BC Zepter Vienna","Chin Min Dragons St. Pölten"
"188",2268,2259,2767341,"2014-01-07 19:00:00",75,73,"Raiffeisen Fürstenfeld Panthers","WBC Raiffeisen Wels"
"24",2259,2263,2767411,"2014-01-10 19:00:00",74,95,"Chin Min Dragons St. Pölten","Raiffeisen Fürstenfeld Panthers"
"124",2265,2262,2767421,"2014-01-10 19:00:00",91,61,"Allianz Swans Gmunden","BC Zepter Vienna"
"48",2260,2268,2767401,"2014-01-10 19:30:00",83,85,"WBC Raiffeisen Wels","magnofit Güssing Knights"
"56",2261,2264,2767431,"2014-01-10 19:30:00",96,74,"yourgoody dukes Klosterneuburg","Redwell Gunners Oberwart"
"140",2266,2258,2767441,"2014-01-10 19:30:00",74,83,"Arkadia Traiskirchen Lions","UBSC Raiffeisen Graz"
"1",2258,2267,2767451,"2014-01-12 17:00:00",93,72,"ece bulls Kapfenberg","Arkadia Traiskirchen Lions"
"186",2268,2263,2767461,"2014-01-12 17:00:00",68,88,"Chin Min Dragons St. Pölten","WBC Raiffeisen Wels"
"71",2262,2259,2767471,"2014-01-12 18:00:00",75,100,"Raiffeisen Fürstenfeld Panthers","Allianz Swans Gmunden"
"111",2264,2266,2767501,"2014-01-12 18:00:00",79,89,"UBSC Raiffeisen Graz","yourgoody dukes Klosterneuburg"
"34",2260,2261,2767491,"2014-01-12 19:00:00",70,79,"Redwell Gunners Oberwart","magnofit Güssing Knights"
"147",2266,2260,2767561,"2014-01-18 18:00:00",81,66,"magnofit Güssing Knights","UBSC Raiffeisen Graz"
"89",2263,2262,2767541,"2014-01-19 17:00:00",114,71,"Allianz Swans Gmunden","Chin Min Dragons St. Pölten"
"139",2265,2258,2767551,"2014-01-19 17:00:00",78,81,"Arkadia Traiskirchen Lions","BC Zepter Vienna"
"161",2267,2264,2767511,"2014-01-19 17:00:00",60,90,"yourgoody dukes Klosterneuburg","ece bulls Kapfenberg"
"68",2261,2268,2767521,"2014-01-19 19:00:00",75,66,"WBC Raiffeisen Wels","Redwell Gunners Oberwart"
"63",2261,2265,2767081,"2014-01-29 19:30:00",99,87,"BC Zepter Vienna","Redwell Gunners Oberwart"
"46",2260,2267,2767571,"2014-02-02 17:00:00",86,87,"ece bulls Kapfenberg","magnofit Güssing Knights"
"194",2268,2262,2767581,"2014-02-02 17:00:00",88,82,"Allianz Swans Gmunden","WBC Raiffeisen Wels"
"66",2261,2266,2767621,"2014-02-02 18:00:00",67,88,"UBSC Raiffeisen Graz","Redwell Gunners Oberwart"
"128",2265,2264,2767611,"2014-02-02 19:00:00",86,79,"yourgoody dukes Klosterneuburg","BC Zepter Vienna"
"7",2258,2259,2767591,"2014-02-03 19:00:00",68,84,"Raiffeisen Fürstenfeld Panthers","Arkadia Traiskirchen Lions"
"137",2265,2260,2767681,"2014-02-08 18:00:00",79,76,"magnofit Güssing Knights","BC Zepter Vienna"
"142",2266,2268,2767641,"2014-02-08 19:00:00",93,74,"WBC Raiffeisen Wels","UBSC Raiffeisen Graz"
"87",2263,2258,2767661,"2014-02-09 17:00:00",91,89,"Arkadia Traiskirchen Lions","Chin Min Dragons St. Pölten"
"16",2259,2264,2767651,"2014-02-09 19:00:00",88,77,"yourgoody dukes Klosterneuburg","Raiffeisen Fürstenfeld Panthers"
"173",2267,2261,2767631,"2014-02-09 19:00:00",93,92,"Redwell Gunners Oberwart","ece bulls Kapfenberg"
"4",2258,2266,2877927,"2014-02-16 16:00:00",55,102,"UBSC Raiffeisen Graz","Arkadia Traiskirchen Lions"
"18",2259,2263,2877923,"2014-02-16 17:00:00",87,94,"Chin Min Dragons St. Pölten","Raiffeisen Fürstenfeld Panthers"
"44",2260,2264,2877985,"2014-02-16 17:00:00",81,71,"yourgoody dukes Klosterneuburg","magnofit Güssing Knights"
"122",2265,2268,2877983,"2014-02-16 18:00:00",53,77,"WBC Raiffeisen Wels","BC Zepter Vienna"
"172",2267,2262,2877987,"2014-02-17 19:00:00",88,70,"Allianz Swans Gmunden","ece bulls Kapfenberg"
"96",2263,2261,2877929,"2014-02-22 19:00:00",96,74,"Redwell Gunners Oberwart","Chin Min Dragons St. Pölten"
"153",2266,2259,2877931,"2014-02-22 19:00:00",84,69,"Raiffeisen Fürstenfeld Panthers","UBSC Raiffeisen Graz"
"165",2267,2264,2877993,"2014-02-23 17:00:00",72,78,"yourgoody dukes Klosterneuburg","ece bulls Kapfenberg"
"185",2268,2260,2877989,"2014-02-24 19:00:00",91,78,"magnofit Güssing Knights","WBC Raiffeisen Wels"
"80",2262,2265,2877991,"2014-02-24 19:30:00",61,86,"BC Zepter Vienna","Allianz Swans Gmunden"
"51",2260,2262,2877997,"2014-02-28 19:00:00",106,111,"Allianz Swans Gmunden","magnofit Güssing Knights"
"102",2264,2268,2877999,"2014-02-28 19:30:00",68,80,"WBC Raiffeisen Wels","yourgoody dukes Klosterneuburg"
"133",2265,2267,2877995,"2014-03-01 19:00:00",95,52,"ece bulls Kapfenberg","BC Zepter Vienna"
"59",2261,2266,2877937,"2014-03-02 18:00:00",81,93,"UBSC Raiffeisen Graz","Redwell Gunners Oberwart"
"30",2259,2258,2877935,"2014-03-03 19:00:00",70,81,"Arkadia Traiskirchen Lions","Raiffeisen Fürstenfeld Panthers"
"126",2265,2264,2878005,"2014-03-06 19:00:00",89,87,"yourgoody dukes Klosterneuburg","BC Zepter Vienna"
"166",2267,2260,2878001,"2014-03-07 19:00:00",74,81,"magnofit Güssing Knights","ece bulls Kapfenberg"
"83",2262,2268,2878003,"2014-03-07 19:30:00",67,76,"WBC Raiffeisen Wels","Allianz Swans Gmunden"
"3",2258,2261,2877941,"2014-03-08 19:00:00",100,80,"Redwell Gunners Oberwart","Arkadia Traiskirchen Lions"
"105",2264,2262,2878011,"2014-03-09 17:00:00",87,76,"Allianz Swans Gmunden","yourgoody dukes Klosterneuburg"
"143",2266,2263,2877943,"2014-03-09 17:00:00",98,103,"Chin Min Dragons St. Pölten","UBSC Raiffeisen Graz"
"176",2268,2267,2878009,"2014-03-10 19:00:00",83,74,"ece bulls Kapfenberg","WBC Raiffeisen Wels"
"38",2260,2265,2878007,"2014-03-11 19:30:00",89,94,"BC Zepter Vienna","magnofit Güssing Knights"
"55",2261,2259,2877947,"2014-03-14 19:30:00",87,78,"Raiffeisen Fürstenfeld Panthers","Redwell Gunners Oberwart"
"94",2263,2258,2877949,"2014-03-14 19:30:00",81,88,"Arkadia Traiskirchen Lions","Chin Min Dragons St. Pölten"
"174",2267,2268,2878015,"2014-03-15 19:00:00",66,79,"WBC Raiffeisen Wels","ece bulls Kapfenberg"
"2",2258,2263,2877955,"2014-03-16 17:00:00",74,99,"Chin Min Dragons St. Pölten","Arkadia Traiskirchen Lions"
"19",2259,2261,2877953,"2014-03-16 17:00:00",73,62,"Redwell Gunners Oberwart","Raiffeisen Fürstenfeld Panthers"
"76",2262,2264,2878017,"2014-03-16 17:00:00",72,90,"yourgoody dukes Klosterneuburg","Allianz Swans Gmunden"
"127",2265,2260,2878013,"2014-03-17 19:00:00",53,73,"magnofit Güssing Knights","BC Zepter Vienna"
"110",2264,2260,2878023,"2014-03-22 18:00:00",77,70,"magnofit Güssing Knights","yourgoody dukes Klosterneuburg"
"180",2268,2265,2878021,"2014-03-22 18:00:00",82,64,"BC Zepter Vienna","WBC Raiffeisen Wels"
"98",2263,2259,2877961,"2014-03-22 19:00:00",110,82,"Raiffeisen Fürstenfeld Panthers","Chin Min Dragons St. Pölten"
"149",2266,2258,2877959,"2014-03-23 17:00:00",94,79,"Arkadia Traiskirchen Lions","UBSC Raiffeisen Graz"
"78",2262,2267,2878019,"2014-03-24 19:00:00",89,70,"ece bulls Kapfenberg","Allianz Swans Gmunden"
"118",2264,2267,2878029,"2014-03-27 19:00:00",92,77,"ece bulls Kapfenberg","yourgoody dukes Klosterneuburg"
"121",2265,2262,2878027,"2014-03-27 19:00:00",64,82,"Allianz Swans Gmunden","BC Zepter Vienna"
"17",2259,2266,2877967,"2014-03-28 19:00:00",89,85,"UBSC Raiffeisen Graz","Raiffeisen Fürstenfeld Panthers"
"64",2261,2263,2877965,"2014-03-28 19:00:00",65,92,"Chin Min Dragons St. Pölten","Redwell Gunners Oberwart"
"41",2260,2268,2878025,"2014-03-28 19:30:00",87,77,"WBC Raiffeisen Wels","magnofit Güssing Knights"
"5",2258,2259,2877971,"2014-03-30 17:00:00",112,83,"Raiffeisen Fürstenfeld Panthers","Arkadia Traiskirchen Lions"
"154",2266,2261,2877973,"2014-03-30 17:00:00",88,63,"Redwell Gunners Oberwart","UBSC Raiffeisen Graz"
"189",2268,2264,2878035,"2014-03-30 17:00:00",83,87,"yourgoody dukes Klosterneuburg","WBC Raiffeisen Wels"
"158",2267,2265,2878031,"2014-03-30 18:00:00",75,65,"BC Zepter Vienna","ece bulls Kapfenberg"
"82",2262,2260,2878033,"2014-03-31 19:00:00",86,79,"magnofit Güssing Knights","Allianz Swans Gmunden"
"90",2263,2266,2877979,"2014-04-04 19:00:00",115,67,"UBSC Raiffeisen Graz","Chin Min Dragons St. Pölten"
"60",2261,2258,2877977,"2014-04-06 17:00:00",86,89,"Arkadia Traiskirchen Lions","Redwell Gunners Oberwart"
"115",2264,2265,2878041,"2014-04-06 17:00:00",88,97,"BC Zepter Vienna","yourgoody dukes Klosterneuburg"
"179",2268,2262,2878039,"2014-04-06 17:00:00",75,84,"Allianz Swans Gmunden","WBC Raiffeisen Wels"
"42",2260,2267,2878037,"2014-04-06 19:00:00",78,76,"ece bulls Kapfenberg","magnofit Güssing Knights"
"152",2266,2263,2891231,"2014-04-11 19:00:00",69,71,"Chin Min Dragons St. Pölten","UBSC Raiffeisen Graz"
"15",2259,2267,2891069,"2014-04-13 17:00:00",81,70,"ece bulls Kapfenberg","Raiffeisen Fürstenfeld Panthers"
"67",2261,2260,2891071,"2014-04-13 18:00:00",67,84,"magnofit Güssing Knights","Redwell Gunners Oberwart"
"184",2268,2262,2891075,"2014-04-13 18:00:00",82,66,"Allianz Swans Gmunden","WBC Raiffeisen Wels"
"112",2264,2265,2891073,"2014-04-13 20:00:00",90,96,"BC Zepter Vienna","yourgoody dukes Klosterneuburg"
"97",2263,2266,2891233,"2014-04-16 19:00:00",83,78,"UBSC Raiffeisen Graz","Chin Min Dragons St. Pölten"
"27",2259,2267,2891077,"2014-04-17 19:00:00",87,64,"ece bulls Kapfenberg","Raiffeisen Fürstenfeld Panthers"
"183",2268,2262,2891083,"2014-04-17 19:00:00",70,84,"Allianz Swans Gmunden","WBC Raiffeisen Wels"
"58",2261,2260,2891079,"2014-04-17 19:30:00",87,62,"magnofit Güssing Knights","Redwell Gunners Oberwart"
"116",2264,2265,2891081,"2014-04-17 20:00:00",78,85,"BC Zepter Vienna","yourgoody dukes Klosterneuburg"
"100",2263,2376,2892179,"2014-04-19 18:00:00",78,80,"Mattersburg Rocks","Chin Min Dragons St. Pölten"
"37",2260,2261,2891087,"2014-04-20 18:00:00",63,68,"Redwell Gunners Oberwart","magnofit Güssing Knights"
"75",2262,2268,2891091,"2014-04-20 18:00:00",79,69,"WBC Raiffeisen Wels","Allianz Swans Gmunden"
"159",2267,2259,2891085,"2014-04-20 18:00:00",63,71,"Raiffeisen Fürstenfeld Panthers","ece bulls Kapfenberg"
"131",2265,2264,2891089,"2014-04-20 20:00:00",57,71,"yourgoody dukes Klosterneuburg","BC Zepter Vienna"
"196",2376,2266,2892181,"2014-04-21 18:00:00",85,76,"UBSC Raiffeisen Graz","Mattersburg Rocks"
"36",2260,2261,2891095,"2014-04-24 19:30:00",101,102,"Redwell Gunners Oberwart","magnofit Güssing Knights"
"74",2262,2268,2891099,"2014-04-24 19:30:00",44,65,"WBC Raiffeisen Wels","Allianz Swans Gmunden"
"125",2265,2264,2891097,"2014-04-24 19:30:00",72,80,"yourgoody dukes Klosterneuburg","BC Zepter Vienna"
"145",2266,2376,2892183,"2014-04-26 18:00:00",72,71,"Mattersburg Rocks","UBSC Raiffeisen Graz"
"117",2264,2265,2891105,"2014-04-27 18:00:00",69,65,"BC Zepter Vienna","yourgoody dukes Klosterneuburg"
"190",2268,2262,2891107,"2014-04-27 20:00:00",61,71,"Allianz Swans Gmunden","WBC Raiffeisen Wels"
"129",2265,2260,2894875,"2014-05-01 19:00:00",62,60,"magnofit Güssing Knights","BC Zepter Vienna"
"192",2268,2267,2894873,"2014-05-01 19:30:00",85,67,"ece bulls Kapfenberg","WBC Raiffeisen Wels"
"195",2376,2263,2892185,"2014-05-02 19:00:00",73,79,"Chin Min Dragons St. Pölten","Mattersburg Rocks"
"123",2265,2260,2894879,"2014-05-03 19:30:00",74,88,"magnofit Güssing Knights","BC Zepter Vienna"
"187",2268,2267,2894877,"2014-05-03 19:30:00",97,76,"ece bulls Kapfenberg","WBC Raiffeisen Wels"
"40",2260,2265,2894883,"2014-05-07 19:30:00",79,77,"BC Zepter Vienna","magnofit Güssing Knights"
"167",2267,2268,2894881,"2014-05-07 19:30:00",77,78,"WBC Raiffeisen Wels","ece bulls Kapfenberg"
"35",2260,2265,2894887,"2014-05-10 19:30:00",58,69,"BC Zepter Vienna","magnofit Güssing Knights"
"134",2265,2260,2894891,"2014-05-14 19:30:00",78,65,"magnofit Güssing Knights","BC Zepter Vienna"
"45",2260,2267,2896433,"2014-05-17 19:30:00",93,84,"ece bulls Kapfenberg","magnofit Güssing Knights"
"49",2260,2267,2896435,"2014-05-21 19:30:00",0,0,"ece bulls Kapfenberg","magnofit Güssing Knights"
"162",2267,2260,2896469,"2014-05-25 19:30:00",0,0,"magnofit Güssing Knights","ece bulls Kapfenberg"
"156",2267,2260,2896471,"2014-05-28 19:30:00",0,0,"magnofit Güssing Knights","ece bulls Kapfenberg"
"43",2260,2267,2896473,"2014-05-31 19:30:00",0,0,"ece bulls Kapfenberg","magnofit Güssing Knights"
